term_name	term_id	part_of
adipose tissue	UBERON:0001013	adipose tissue
mesenchymal stem cell of adipose	CL:0002570	adipose tissue
subcutaneous preadipocyte	CL:0002583	adipose tissue, fibroblast
urothelium cell line	NTR:0000961	urinary bladder
B cell	CL:0000236	blood
Centroblast	NTR:0001233	blood
chronic lymphocytic leukemia cell	EFO:0000095	blood
DOHH2	EFO:0002167	blood
erythroblast	CL:0000765	blood
germinal center	UBERON:0010754	blood
GM06990	EFO:0002783	blood
GM08714	NTR:0000905	blood
GM10248	NTR:0000907	blood
GM10266	NTR:0000908	blood
GM10847	NTR:0000909	blood
GM12801	NTR:0000910	blood
GM12812	EFO:0001155	blood
GM12813	EFO:0001156	blood
GM12864	NTR:0000911	blood
GM12865	NTR:0000912	blood
GM12866	NTR:0000912	blood
GM12867	NTR:0000914	blood
GM12868	NTR:0000915	blood
GM12869	NTR:0000916	blood
GM12870	NTR:0000917	blood
GM12871	NTR:0000918	blood
GM12872	EFO:0001159	blood
GM12873	EFO:0001160	blood
GM12874	EFO:0001161	blood
GM12875	EFO:0001162	blood
GM12878	EFO:0002784	blood
GM12891	EFO:0000322	blood
GM12892	EFO:0002786	blood
GM13976	NTR:0000919	blood
GM13977	NTR:0000920	blood
GM15510	NTR:0000921	blood
GM18505	NTR:0000922	blood
GM18507	EFO:0002787	blood
GM18526	NTR:0000923	blood
GM18951	NTR:0000924	blood
GM19099	NTR:0000926	blood
GM19193	NTR:0000927	blood
GM19238	EFO:0002788	blood
GM19239	EFO:0002789	blood
GM19240	EFO:0002790	blood
GM20000	NTR:0000928	blood
helper T-lymphocyte	CL:0000899	blood
hematopoietic cell	BTO:0000574	blood
hematopoietic multipotent progenitor cell	CL:0000837	blood
HL-60	EFO:0002793	blood
Jurkat	EFO:0002796	blood
K562	EFO:0002067	blood
Karpas-422	NTR:0000552	blood
LOUCY	NTR:0000549	blood
MM.1S	NTR:0000558	blood
monocyte	NTR:0000896	blood
mononuclear cell	CL:0000842	blood
naive B cell	CL:0000788	blood
naive blood-derived CD4-positive alpha-beta T cell	NTR:0000738	blood
NB4	EFO:0002798	blood
Oci-Ly-1	NTR:0000553	blood
Oci-Ly-3	NTR:0000555	blood
Oci-Ly-7	NTR:0000554	blood
peripheral blood	NTR:0000903	blood
RAJI cell	EFO:0002324	blood
regulatory T-lymphocyte	NTR:0000897	blood
SUDHL6	EFO:0002357	blood
T-cell acute lymphoblastic leukemia cell	EFO:0000209	blood
T-helper 0 cell	NTR:0000743	blood
T-helper 1 cell	CL:0000545	blood
T-lymphocyte	NTR:0000901	blood
Th2-cell	NTR:0000893	blood
umbilical cord blood cell	NTR:0000888	blood
bladder microvascular endothelial cell	NTR:0000717	blood vessel
brain microvascular endothelial cell	NTR:0000891	blood vessel
brain vascular pericyte	NTR:0000930	blood vessel
dermal microvascular endothelial cell	NTR:0000725	blood vessel
dermis blood vessel endothelial cell	NTR:0000725	blood vessel
dermis lymphatic vessel endothelial cell	NTR:0000726	blood vessel
dermis microvascular lymphatic vessel endothelial cell	NTR:0000727	blood vessel
endothelial cell of coronary artery	NTR:0000729	blood vessel
lung microvascular endothelial cell	NTR:0000737	blood vessel
pericyte cell	CL:0000669	blood vessel
vascular endothelial cell	NTR:0000725	blood vessel
CMK	EFO:0003037	bone element
HS-27A	NTR:0000701	bone element
HS-5	NTR:0000931	bone element
MG63	EFO:0002234	bone element
osteoblast	CL:0000062	bone element
osteosarcoma cell	EFO:0002869	bone element
SJSA1	EFO:0002330	bone element
U2OS	EFO:0002869	bone element
UCH-1	EFO:0004389	bone element
A172	EFO:0002101	brain, nervous system
astrocyte	CL:0000127	brain, nervous system
BE2C	EFO:0002114	brain, nervous system
D341Med	EFO:0002157	brain, nervous system
D721Med	NTR:0001049	brain, nervous system
Daoy	NTR:00001201	brain, nervous system
glioblastoma multiforme	EFO:0000519	brain, nervous system
H4	EFO:0002184	brain, nervous system
H54	EFO:0002782	brain, nervous system
